1880,236
1881,243
1882,256
1883,272
1884,275
1885,277
1886,281
1887,295
1888,327
1889,327
1890,356
1891,372
1892,374
1893,370
1894,383
1895,406
1896,419
1897,440
1898,465
1899,507
1900,534
1901,552
1902,566
1903,617
1904,624
1905,663
1906,707
1907,784
1908,750
1909,785
1910,819
1911,836
1912,879
1913,943
1914,850
1915,838
1916,901
1917,955
1918,936
1919,806
1920,932
1921,803
1922,845
1923,970
1924,963
1925,975
1926,983
1927,1062
1928,1065
1929,1145
1930,1053
1931,940
1932,847
1933,893
1934,973
1935,1027
1936,1130
1937,1209
1938,1142
1939,1192
1940,1299
1941,1334
1942,1342
1943,1391
1944,1383
1945,1160
1946,1238
1947,1392
1948,1469
1949,1419
1950,1630
1951,1767
1952,1795
1953,1841
1954,1865
1955,2042
1956,2177
1957,2270
1958,2330
1959,2454
1960,2569
1961,2580
1962,2686
1963,2833
1964,2995
1965,3130
1966,3288
1967,3393
1968,3566
1969,3780
1970,4053
1971,4208
1972,4376
1973,4614
1974,4623
1975,4596
1976,4864
1977,5016
1978,5074
1979,5357
1980,5301
1981,5138
1982,5094
1983,5075
1984,5258
1985,5417
1986,5583
1987,5725
1988,5936
1989,6066
1990,6074
1991,6142
1992,6078
1993,6070
1994,6174
1995,6305
1996,6448
1997,6556
1998,6576
1999,6561
2000,6733
2001,6893
2002,6994
2003,7376
2004,7743
2005,8042
2006,8336
2007,8503
2008,8776
2009,8697
2010,9128
2011,9503
2012,9673
2013,9773
2014,9855
